Name,Team,AL/NL,PA,OBP,SLG,OPS,BABIP,O-Contact%,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Barrel%,AVG,BB%,K%,playerid
Josh Donaldson,NYY,AL,546,0.308,0.374,0.682,0.283,0.589,0.327,0.691,0.473,0.589,0.755,0.098,0.222,0.099,0.271,5038
Marcell Ozuna,ATL,NL,507,0.274,0.413,0.687,0.252,0.582,0.361,0.699,0.494,0.582,0.849,0.131,0.226,0.061,0.241,10324
A.J. Pollock,CHW,AL,527,0.292,0.389,0.681,0.278,0.636,0.379,0.761,0.536,0.636,0.882,0.094,0.245,0.061,0.186,9256
Ke'Bryan Hayes,PIT,NL,560,0.314,0.345,0.659,0.307,0.658,0.3,0.635,0.433,0.658,0.921,0.039,0.244,0.086,0.218,18577
Whit Merrifield,- - -,,550,0.298,0.375,0.673,0.276,0.738,0.35,0.715,0.505,0.738,0.875,0.042,0.25,0.069,0.155,11281
Nelson Cruz,WSN,NL,507,0.313,0.337,0.651,0.295,0.571,0.352,0.748,0.507,0.571,0.801,0.093,0.234,0.097,0.235,2434
Javier Baez,DET,AL,590,0.278,0.393,0.671,0.292,0.553,0.487,0.691,0.558,0.553,0.815,0.08,0.238,0.044,0.249,12979
Jesus Aguilar,- - -,,507,0.281,0.379,0.661,0.278,0.645,0.389,0.657,0.492,0.645,0.847,0.067,0.235,0.055,0.235,11342
Tony Kemp,OAK,AL,558,0.307,0.334,0.641,0.259,0.797,0.33,0.682,0.484,0.797,0.936,0.016,0.235,0.081,0.124,14894
Isiah Kiner-Falefa,NYY,AL,531,0.314,0.327,0.642,0.296,0.818,0.331,0.596,0.447,0.818,0.956,0.012,0.261,0.066,0.136,16512
Yuli Gurriel,HOU,AL,584,0.288,0.36,0.647,0.266,0.801,0.379,0.653,0.486,0.801,0.937,0.019,0.242,0.051,0.125,19198
Cody Bellinger,LAD,NL,550,0.265,0.389,0.654,0.255,0.686,0.345,0.705,0.498,0.686,0.809,0.083,0.21,0.069,0.273,15998
Cesar Hernandez,WSN,NL,617,0.311,0.318,0.629,0.309,0.673,0.293,0.707,0.466,0.673,0.886,0.024,0.248,0.073,0.185,10556
Jorge Mateo,BAL,AL,533,0.267,0.379,0.646,0.286,0.55,0.394,0.728,0.531,0.55,0.836,0.059,0.221,0.051,0.276,17273
Trent Grisham,SDP,NL,524,0.284,0.341,0.626,0.231,0.634,0.23,0.581,0.379,0.634,0.822,0.081,0.184,0.109,0.286,18564
Adam Frazier,SEA,AL,602,0.301,0.311,0.612,0.268,0.782,0.327,0.7,0.486,0.782,0.926,0.015,0.238,0.076,0.121,15223
Miguel Rojas,MIA,NL,507,0.283,0.323,0.605,0.258,0.709,0.344,0.668,0.476,0.709,0.959,0.019,0.236,0.051,0.12,7802
Myles Straw,CLE,AL,596,0.291,0.273,0.564,0.261,0.784,0.234,0.599,0.404,0.784,0.939,0.007,0.221,0.091,0.146,17620
Jonathan Schoop,DET,AL,510,0.239,0.322,0.561,0.234,0.611,0.408,0.768,0.555,0.611,0.856,0.048,0.202,0.037,0.21,11265
