Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches
Jared Young,CHC,AAA,26,455,0.08791209,0.24175824,0.36363636,0.23,0.31125828,0.42,0.73125828,0.19,4.157507493,0.27075812,-1.068759072,54.38312194,-5.07252635,0.321684962,91.46838611,20404,0.27075812,1.27272727,0.22680412,0.43298969,0.34020619,0.16161616,0.17171717,0.43097643,0.24242424,0.32659933,0.12986236,639,1032,1671
Brewer Hicklen,KCR,AAA,26,559,0.10375671,0.36135957,0.28712871,0.24791667,0.34767025,0.50208333,0.84975358,0.25416666,8.133817379,0.35968379,5.087451321,89.48242846,16.43691771,0.369546964,122.5022969,20450,0.35968379,0.83739837,0.18705036,0.3705036,0.44244604,0.20325203,0.22764228,0.44522968,0.32508834,0.22968198,0.16217451,856,1333,2189
Seth Beer,ARI,AAA,25,402,0.10945274,0.16915423,0.64705882,0.24169184,0.36069652,0.43504532,0.79574184,0.19335348,2.889934295,0.25882353,-1.008764273,59.11405547,0.310535532,0.350969323,100.52809,20493,0.25882353,1.17708333,0.19615385,0.43461538,0.36923077,0.11458333,0.14583333,0.38148148,0.24444444,0.37407407,0.125,590,930,1520
Jack Larsen,SEA,AA,27,528,0.13636364,0.20265152,0.6728972,0.26888889,0.37121212,0.40666667,0.77787879,0.13777778,5.738157409,0.33035714,-0.388067229,77.77901384,3.141044104,0.357068688,104.2083729,20510,0.33035714,1.26956522,0.23235294,0.42941176,0.33823529,0.17391304,0.08695652,0.46242775,0.21965318,0.31791908,0.09906817,832,1207,2039
Carlos Perez,CHW,AAA,25,465,0.07311828,0.08602151,0.85,0.25358852,0.31612903,0.44976077,0.7658898,0.19617225,2.560842805,0.23415978,-1.337324928,60.68673228,-0.075633549,0.334650861,99.87552567,20805,0.23415978,0.95597484,0.18157895,0.4,0.41842105,0.30188679,0.13207547,0.52467532,0.1974026,0.27792208,0.06634499,601,1057,1658
Ford Proctor,TBR,AAA,25,459,0.14814815,0.28976035,0.5112782,0.22916667,0.34792123,0.34895833,0.69687956,0.11979166,2.097311922,0.3153527,-1.212282495,55.52522418,-6.669114603,0.321700149,88.42284242,21634,0.3153527,2.1969697,0.15936255,0.57768924,0.26294821,0.12121212,0.18181818,0.34901961,0.26666667,0.38431373,0.14262821,761,1111,1872
Esteury Ruiz,SDP,"AA,AAA",23,541,0.1219963,0.17375231,0.70212766,0.33180778,0.44736842,0.52631579,0.97368421,0.19450801,8.164068558,0.39209726,9.015952379,117.8730043,42.48395713,0.434206582,155.9342037,21780,0.39209726,0.96825397,0.26843658,0.35988201,0.37168142,0.28571429,0.12698413,0.49142857,0.24285714,0.26571429,0.0994898,787,1173,1960
Jonathan Aranda,TBR,AAA,24,465,0.09677419,0.21505376,0.45,0.31761787,0.39354839,0.52109181,0.9146402,0.20347394,3.998879756,0.37671233,-0.251343081,86.26435881,25.50199298,0.39957107,141.9700461,21837,0.37671233,1.4,0.25245902,0.43606557,0.31147541,0.15789474,0.18947368,0.38906752,0.25401929,0.35691318,0.07831646,733,1144,1877
Bo Naylor,CLE,"AA,AAA",22,510,0.16078431,0.2372549,0.67768595,0.2626506,0.39215686,0.49638554,0.8885424,0.23373494,6.280084278,0.31768953,1.176495609,91.20718323,25.82123884,0.391014407,139.7033822,21865,0.31768953,0.856,0.22147651,0.3590604,0.41946309,0.088,0.168,0.40133779,0.29431438,0.30434783,0.08588957,917,1202,2119
Jerar Encarnacion,MIA,"AA,AAA",24,433,0.09699769,0.2817552,0.3442623,0.29427083,0.36258661,0.50520833,0.86779494,0.2109375,3.011245388,0.37142857,-1.504274489,71.88810231,15.32521832,0.378481946,127.1066256,21871,0.37142857,1.2020202,0.17424242,0.45075758,0.375,0.12121212,0.22222222,0.34831461,0.25842697,0.39325843,0.17609329,573,1142,1715
Mark Vientos,NYM,AAA,22,427,0.1030445,0.28571429,0.36065574,0.28042328,0.35831382,0.51851852,0.87683234,0.23809524,2.692108631,0.35042735,-1.752561791,71.94603974,16.14920058,0.379479911,128.9428592,22184,0.35042735,1.3908046,0.168,0.484,0.348,0.10344828,0.27586207,0.41312741,0.27027027,0.31660232,0.15035377,626,1070,1696
Livan Soto,LAA,AA,22,543,0.13075506,0.1878453,0.69607843,0.28070175,0.37918216,0.36184211,0.74102427,0.08114036,4.494946711,0.34463277,-1.529262327,73.90356749,3.02061537,0.346750153,104.261413,22471,0.34463277,1.13953488,0.21813031,0.41643059,0.36543909,0.2248062,0.04651163,0.44657534,0.23561644,0.31780822,0.09090909,812,1256,2068
Heliot Ramos,SFG,AAA,22,475,0.08631579,0.23578947,0.36607143,0.22716628,0.30526316,0.34894614,0.6542093,0.12177986,3.907806041,0.28289474,-2.403479227,44.80136012,-24.68041094,0.294018184,64.47930074,22515,0.28289474,1.67032967,0.21864952,0.48874598,0.2926045,0.16483516,0.12087912,0.41139241,0.18670886,0.40189873,0.14640735,686,1165,1851
Michael Siani,CIN,"AA,AAA",22,569,0.1142355,0.16695958,0.68421053,0.25203252,0.34507042,0.40447154,0.74954196,0.15243902,8.026333022,0.28423773,3.631207764,74.55100818,0.26900347,0.340369081,100.3640834,22557,0.28423773,1.28767123,0.15656566,0.47474747,0.36868687,0.30821918,0.09589041,0.50374065,0.20448878,0.29177057,0.07650765,850,1372,2222
Jordan Diaz,OAK,"AA,AAA",21,527,0.05313093,0.14421252,0.36842105,0.32586558,0.36622391,0.51527495,0.88149886,0.18940937,1.79300508,0.35338346,-0.820055392,91.54390759,16.45718306,0.385155861,121.8602142,22650,0.35338346,2.23958333,0.24514563,0.52184466,0.23300971,0.11458333,0.19791667,0.36298077,0.28846154,0.34855769,0.10856184,626,1161,1787
Maikel Garcia,KCR,"AA,AAA",22,555,0.1045045,0.18378378,0.56862745,0.28542094,0.35934664,0.42710472,0.78645136,0.14168378,6.898549638,0.33773087,3.007405496,80.76545873,4.298749462,0.354117415,105.7232754,22715,0.33773087,1.5,0.22572178,0.46456693,0.30971129,0.12711864,0.09322034,0.33756345,0.26395939,0.39847716,0.06510292,803,1286,2089
